,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
29,1829-01-01,135.1065928348111,-236.8529250019121,232.35272671022904,135.1065928348111,135.1065928348111,-156.81675769176573,-156.81675769176573,-156.81675769176573,-156.81675769176573,-156.81675769176573,-156.81675769176573,0.0,0.0,0.0,-21.710164856954634
30,1830-01-01,136.6971629911947,-233.98876136655952,238.7443404574064,136.6971629911947,136.6971629911947,-136.74840021673086,-136.74840021673086,-136.74840021673086,-136.74840021673086,-136.74840021673086,-136.74840021673086,0.0,0.0,0.0,-0.05123722553616972
31,1831-01-01,138.2877331475783,-217.0799003717894,264.42504572976253,138.2877331475783,138.2877331475783,-116.06628606046597,-116.06628606046597,-116.06628606046597,-116.06628606046597,-116.06628606046597,-116.06628606046597,0.0,0.0,0.0,22.221447087112338
32,1832-01-01,139.87830330396187,-204.41495459557063,279.25104636849716,139.87830330396187,139.87830330396187,-94.79543572783818,-94.79543572783818,-94.79543572783818,-94.79543572783818,-94.79543572783818,-94.79543572783818,0.0,0.0,0.0,45.08286757612369
33,1833-01-01,141.4732311868013,-244.00205420357352,228.60784070022888,141.4732311868013,141.4732311868013,-156.81675769153495,-156.81675769153495,-156.81675769153495,-156.81675769153495,-156.81675769153495,-156.81675769153495,0.0,0.0,0.0,-15.343526504733632
34,1834-01-01,143.06382560162464,-206.0139904620657,245.19862544042354,143.06382560162464,143.06382560162464,-136.74840021620165,-136.74840021620165,-136.74840021620165,-136.74840021620165,-136.74840021620165,-136.74840021620165,0.0,0.0,0.0,6.315425385422998
35,1835-01-01,144.65442001644797,-205.97964650680382,257.98320324074285,144.65442001644797,144.65442001644797,-116.06628605994153,-116.06628605994153,-116.06628605994153,-116.06628605994153,-116.06628605994153,-116.06628605994153,0.0,0.0,0.0,28.58813395650644
36,1836-01-01,146.2450144312713,-200.84257650533897,284.09974184109984,146.2450144312713,146.2450144312713,-94.79543572729796,-94.79543572729796,-94.79543572729796,-94.79543572729796,-94.79543572729796,-94.79543572729796,0.0,0.0,0.0,51.449578703973344
37,1837-01-01,147.83996663901195,-248.05297366168332,238.7688422231433,147.83996663901195,147.83996663901195,-156.81675769094193,-156.81675769094193,-156.81675769094193,-156.81675769094193,-156.81675769094193,-156.81675769094193,0.0,0.0,0.0,-8.976791051929979
38,1838-01-01,149.4305610538353,-239.67957328079115,247.43169886417812,149.4305610538353,149.4305610538353,-136.74840021609958,-136.74840021609958,-136.74840021609958,-136.74840021609958,-136.74840021609958,-136.74840021609958,0.0,0.0,0.0,12.682160837735722
39,1839-01-01,151.02115546865863,-178.70624020728656,270.2362329504667,151.02115546865863,151.02115546865863,-116.06628605991246,-116.06628605991246,-116.06628605991246,-116.06628605991246,-116.06628605991246,-116.06628605991246,0.0,0.0,0.0,34.95486940874618
